question_id,spatial_waveform_1,temporal_waveform_1,spatial_waveform_2,temporal_waveform_2,duration,stimuli
0,2,2,2,3.25,00:30,https://youtu.be/2KBi7ssy4vM
1,2,2,2,3,00:30,https://youtu.be/5VdT8baSTmw
2,2,2,2,2,00:19,https://youtu.be/Bygv21vvNss
3,2,2,2,4,00:29,https://youtu.be/YnvVJfCOfpQ
4,2,2,2,3.5,00:31,https://youtu.be/gZIVBam0Co8
5,2,2,2,2.25,00:59,https://youtu.be/7SRzfAIO9ns
6,2,2,2,3.75,00:30,https://youtu.be/tYKrxo5NGnQ
7,2,2,2,2.5,00:30,https://youtu.be/NKa6I_1J0go
8,2,2,2,2.75,00:30,https://youtu.be/iCnucQ0FhzE
